Order Date,Amount,Currency,Customer Name,Customer Email
21.02.2018,1,USD,Louis Armstrong,satchmo@gmail.com
13.03.2018,3,USD,Art Tatum,art-tum@gmail.com
15.03.2018,22,USD,Duke Ellington,theduke@gmail.com
20.03.2018,5,USD,Nat King Cole,cole-king@yahoo.com
28.04.2018,35,USD,Wynton Marsalis,marsiac@yandex.ru
02.05.2018,17,USD,Johnny Hodges,hodgejohnny@mail.ru
10.05.2018,25,USD,Sarah Vaughan,sarah-vaughan@gmail.com
12.06.2018,48,USD,Helen Merill,helmir@outlook.com
16.06.2018,15,USD,Billie Holiday,hilbillie@gmail.com
20.06.2018,60,USD,Chet Baker,bachet@rambler.ru
23.06.2018,25,USD,Django Reinhardt,djangomanouchie@gmail.com
03.07.2018,38,USD,Dave Brubeck,dave-brub@gmail.com
